,Player,POS,Club,GP,GS,MINS,G,A,YC,RC,SHTS,SOG,SOG%,SC%,Year,best_11,W,L,D,GD
0,Roy Lassiter,F,TB,30,30,2580,27,4,2,0,76,49,64.47,35.5,1996,1,19.0,12.0,0.0,15.0
1,Raul Diaz Arce,F,DC,28,28,2351,23,2,6,1,100,49,49.0,23.0,1996,0,15.0,16.0,0.0,6.0
2,Eduardo Hurtado,F,LA,26,26,2323,21,7,5,0,87,56,64.37,24.1,1996,1,15.0,13.0,0.0,10.0
3,Preki,M,KC,32,32,2880,18,13,3,0,140,61,43.57,12.9,1996,1,12.0,15.0,0.0,-2.0
4,Brian McBride,F,CLB,28,28,2307,17,3,0,0,79,44,55.7,21.5,1996,0,11.0,17.0,0.0,-1.0
5,Steve Rammel,F,DC,26,20,1649,14,3,4,0,54,32,59.26,25.9,1996,0,15.0,16.0,0.0,6.0
6,Vitalis Takawira,F,KC,28,25,2233,13,7,0,1,70,48,68.57,18.6,1996,0,12.0,15.0,0.0,-2.0
7,Paul Bravo,M,SJ,31,31,2654,13,5,2,0,58,29,50.0,22.4,1996,0,12.0,17.0,0.0,0.0
8,Jason Kreis,M,DAL,31,29,2564,13,5,4,0,90,41,45.56,14.4,1996,0,12.0,15.0,0.0,2.0
9,Giovanni Savarese,F,MET,26,15,1576,13,1,1,0,49,32,65.31,26.5,1996,0,12.0,17.0,0.0,-2.0
10,Pete Marino,F,CLB,29,18,1700,11,4,0,0,52,36,69.23,21.2,1996,0,11.0,17.0,0.0,-1.0
11,Jean Harbor,F,COL,29,27,2111,11,4,3,1,61,33,54.1,18.0,1996,0,9.0,21.0,0.0,-15.0
12,Joe-Max Moore,F,NE,14,14,1238,11,1,2,0,36,19,52.78,30.6,1996,0,9.0,17.0,0.0,-13.0
13,Eric Wynalda,F,SJ,27,26,2326,10,13,6,0,68,38,55.88,14.7,1996,0,12.0,17.0,0.0,0.0
14,Eduardo Espinoza,F,SJ,26,26,2310,10,5,5,1,54,30,55.56,18.5,1996,0,12.0,17.0,0.0,0.0
15,Mark Chung,M,KC,32,32,2847,8,9,0,0,81,40,49.38,9.9,1996,0,12.0,15.0,0.0,-2.0
16,Shaun Bartlett,F,COL,26,26,2252,8,7,5,0,88,39,44.32,9.1,1996,0,9.0,21.0,0.0,-15.0
17,Giuseppe Galderisi,F,NE,25,22,1961,7,8,5,0,57,25,43.86,12.3,1996,0,9.0,17.0,0.0,-13.0
18,Cobi Jones,M,LA,28,27,2375,7,4,2,0,48,24,50.0,14.6,1996,0,15.0,13.0,0.0,10.0
19,Steve Ralston,M,TB,31,31,2762,7,2,1,0,24,12,50.0,29.2,1996,0,19.0,12.0,0.0,15.0
20,Marcelo Balboa,D,COL,18,16,1525,7,2,2,0,28,14,50.0,25.0,1996,0,9.0,21.0,0.0,-15.0
21,Adrian Paz,M,CLB,27,19,1802,6,10,1,0,48,25,52.08,12.5,1996,0,11.0,17.0,0.0,-1.0
22,Alberto Naveda,F,NE,25,20,1734,6,7,8,0,65,35,53.85,9.2,1996,0,9.0,17.0,0.0,-13.0
23,Harut Karapetyan,F,LA,28,23,1860,6,6,1,0,62,30,48.39,9.7,1996,0,15.0,13.0,0.0,10.0
24,Hugo Sanchez,F,DAL,23,21,1708,6,3,6,1,40,23,57.5,15.0,1996,0,12.0,15.0,0.0,2.0
25,Maurice Johnston,M,KC,29,29,2573,6,3,4,0,54,28,51.85,11.1,1996,0,12.0,15.0,0.0,-2.0
26,Antony De Avila,F,MET,8,7,650,6,2,1,0,20,13,65.0,30.0,1996,0,12.0,17.0,0.0,-2.0
27,Mauricio Cienfuegos,M,LA,28,27,2405,5,11,6,0,47,26,55.32,10.6,1996,1,15.0,13.0,0.0,10.0
28,Gerell Elliott,F,DAL,20,16,1523,5,7,0,0,43,24,55.81,11.6,1996,0,12.0,15.0,0.0,2.0
29,Martin Vasquez,M,TB,31,31,2700,5,6,5,0,51,25,49.02,9.8,1996,0,19.0,12.0,0.0,15.0
30,Brian Maisonneuve,M,CLB,15,13,1209,5,2,1,0,22,12,54.55,22.7,1996,0,11.0,17.0,0.0,-1.0
31,John Kerr,F,DAL,19,16,1404,5,2,1,0,29,14,48.28,17.2,1996,0,12.0,15.0,0.0,2.0
32,A.J. Wood,F,MET,21,13,1136,5,2,0,0,34,22,64.71,14.7,1996,0,12.0,17.0,0.0,-2.0
33,Steve Trittschuh,D,COL,32,32,2880,5,2,2,0,45,20,44.44,11.1,1996,0,9.0,21.0,0.0,-15.0
34,Diego Viera,F,TB,17,6,774,5,0,3,1,17,10,58.82,29.4,1996,0,19.0,12.0,0.0,15.0
35,Marco Etcheverry,M,DC,26,23,2144,4,19,7,0,51,30,58.82,7.8,1996,1,15.0,16.0,0.0,6.0
36,Carlos Valderrama,M,TB,23,23,2059,4,17,0,0,24,12,50.0,16.7,1996,0,19.0,12.0,0.0,15.0
37,Tony Sanneh,D,DC,25,24,2047,4,8,4,0,32,19,59.38,12.5,1996,0,15.0,16.0,0.0,6.0
38,Mike Sorber,M,KC,23,23,1960,4,6,2,0,34,12,35.29,11.8,1996,0,12.0,15.0,0.0,-2.0
39,Darren Sawatzky,F,NE,28,19,1776,4,5,1,0,41,22,53.66,9.8,1996,0,9.0,17.0,0.0,-13.0
40,Miles Joseph,M,MET,24,23,1927,4,4,3,0,27,19,70.37,14.8,1996,0,12.0,17.0,0.0,-2.0
41,Brian Haynes,M,DAL,26,23,1983,4,3,1,0,29,16,55.17,13.8,1996,0,12.0,15.0,0.0,2.0
42,Paul Keegan,F,NE,27,20,1844,4,3,4,0,30,18,60.0,13.3,1996,0,9.0,17.0,0.0,-13.0
43,Rob Johnson,F,MET,18,12,1136,4,3,2,0,34,16,47.06,11.8,1996,0,12.0,17.0,0.0,-2.0
44,Marcelo Carrera,F,CLB,30,12,1339,4,2,0,0,26,16,61.54,15.4,1996,0,11.0,17.0,0.0,-1.0
45,Washington Rodriguez,M,DAL,14,9,806,4,2,2,1,28,16,57.14,14.3,1996,0,12.0,15.0,0.0,2.0
46,Greg Vanney,D,LA,29,24,2236,4,1,2,0,31,13,41.94,12.9,1996,0,15.0,13.0,0.0,10.0
47,Tab Ramos,M,MET,25,25,2158,3,10,11,1,44,20,45.45,6.8,1996,0,12.0,17.0,0.0,-2.0
48,Roberto Donadoni,M,MET,17,17,1530,3,8,1,0,34,13,38.24,8.8,1996,1,12.0,17.0,0.0,-2.0
49,John Harkes,M,DC,29,28,2469,3,8,4,0,44,26,59.09,6.8,1996,0,15.0,16.0,0.0,6.0
50,Chris Henderson,M,COL,29,29,2544,3,8,4,0,58,29,50.0,5.2,1996,0,9.0,21.0,0.0,-15.0
51,John Doyle,D,SJ,30,30,2652,3,6,6,1,27,13,48.15,11.1,1996,1,12.0,17.0,0.0,0.0
52,Ivan McKinley,D,TB,26,25,2168,3,6,11,0,31,13,41.94,9.7,1996,0,19.0,12.0,0.0,15.0
53,Welton,F,NE,29,20,1909,3,6,3,0,34,15,44.12,8.8,1996,0,9.0,17.0,0.0,-13.0
54,Leonel Alvarez,M,DAL,22,22,1959,3,5,14,2,22,14,63.64,13.6,1996,1,12.0,15.0,0.0,2.0
55,Scott Benedetti,F,COL,32,32,2815,3,5,1,0,44,14,31.82,6.8,1996,0,9.0,21.0,0.0,-15.0
56,Jaime Moreno,F,DC,9,9,700,3,3,0,0,21,9,42.86,14.3,1996,0,15.0,16.0,0.0,6.0
57,Geoff Aunger,D,NE,29,26,2397,3,3,10,0,27,8,29.63,11.1,1996,0,9.0,17.0,0.0,-13.0
58,Paul Caligiuri,D,CLB,22,21,1869,3,2,2,1,15,5,33.33,20.0,1996,0,11.0,17.0,0.0,-1.0
59,Mark Semioli,D,LA,28,27,2475,3,2,5,0,21,14,66.67,14.3,1996,0,15.0,13.0,0.0,10.0
60,Doctor Khumalo,M,CLB,25,23,1930,3,2,2,0,25,13,52.0,12.0,1996,0,11.0,17.0,0.0,-1.0
61,Shawn Medved,M,DC,27,13,1171,3,1,0,0,17,12,70.59,17.6,1996,0,15.0,16.0,0.0,6.0
62,Jeff Baicher,M,SJ,30,28,2180,3,1,2,0,28,12,42.86,10.7,1996,0,12.0,17.0,0.0,0.0
63,Alan Prampin,F,KC,15,2,337,3,0,0,0,11,4,36.36,27.3,1996,0,12.0,15.0,0.0,-2.0
64,Robert Warzycha,M,CLB,20,20,1747,2,11,6,0,45,17,37.78,4.4,1996,0,11.0,17.0,0.0,-1.0
65,Billy Thompson,M,CLB,24,24,2074,2,8,1,0,21,9,42.86,9.5,1996,0,11.0,17.0,0.0,-1.0
66,Ben Iroha,M,SJ,29,24,2194,2,8,6,0,34,20,58.82,5.9,1996,0,12.0,17.0,0.0,0.0
67,Diego Sonora,M,DAL,31,31,2720,2,7,5,0,23,13,56.52,8.7,1996,0,12.0,15.0,0.0,2.0
68,Ted Eck,M,DAL,26,16,1564,2,6,3,0,24,15,62.5,8.3,1996,0,12.0,15.0,0.0,2.0
69,Roy Wegerle,F,COL,22,16,1458,2,6,1,0,28,14,50.0,7.1,1996,0,9.0,21.0,0.0,-15.0
70,Frank Klopas,F,KC,22,16,1235,2,4,3,0,24,7,29.17,8.3,1996,0,12.0,15.0,0.0,-2.0
71,Guillermo Jara,M,LA,21,6,811,2,4,0,0,28,8,28.57,7.1,1996,0,15.0,13.0,0.0,10.0
72,Cle Kooiman,D,TB,27,27,2394,2,3,7,0,4,3,75.0,50.0,1996,0,19.0,12.0,0.0,15.0
73,Troy Dayak,D,SJ,25,25,2232,2,3,3,0,20,8,40.0,10.0,1996,0,12.0,17.0,0.0,0.0
74,Arash Noamouz,D,LA,12,11,852,2,2,0,0,6,4,66.67,33.3,1996,0,15.0,13.0,0.0,10.0
75,Goran Hunjak,M,TB,21,15,1412,2,2,1,0,17,9,52.94,11.8,1996,0,19.0,12.0,0.0,15.0
76,Imad Baba,M,NE,11,8,736,2,2,0,0,19,9,47.37,10.5,1996,0,9.0,17.0,0.0,-13.0
77,Jose Vasquez,D,LA,14,11,876,2,2,4,0,26,13,50.0,7.7,1996,0,15.0,13.0,0.0,10.0
78,Richard Sharpe,F,COL,17,7,681,2,2,2,0,27,15,55.56,7.4,1996,0,9.0,21.0,0.0,-15.0
79,Scott Uderitz,D,KC,28,24,2117,2,1,5,1,10,6,60.0,20.0,1996,0,12.0,15.0,0.0,-2.0
80,Jorge Salcedo,M,LA,29,22,2060,2,1,4,0,11,7,63.64,18.2,1996,0,15.0,13.0,0.0,10.0
81,Eddie Pope,D,DC,18,18,1575,2,1,2,0,12,4,33.33,16.7,1996,0,15.0,16.0,0.0,6.0
82,Robert Ukrop,F,NE,9,8,634,2,1,1,0,14,8,57.14,14.3,1996,0,9.0,17.0,0.0,-13.0
83,Lawrence Lozzano,M,DAL,31,31,2688,2,1,3,0,25,15,60.0,8.0,1996,0,12.0,15.0,0.0,2.0
84,Altimont Butler,M,SJ,14,4,411,2,0,0,0,7,4,57.14,28.6,1996,0,12.0,17.0,0.0,0.0
85,Uche Okafor,D,KC,30,30,2593,2,0,4,0,8,6,75.0,25.0,1996,0,12.0,15.0,0.0,-2.0
86,Nicola Caricola,D,MET,26,26,2193,2,0,6,1,17,8,47.06,11.8,1996,0,12.0,17.0,0.0,-2.0
87,Steve Pittman,D,TB,26,26,2252,1,6,7,0,23,7,30.43,4.3,1996,0,19.0,12.0,0.0,15.0
88,Jeff Agoos,D,DC,32,32,2805,1,5,4,0,19,7,36.84,5.3,1996,0,15.0,16.0,0.0,6.0
