,Player,Club,POS,GP,GS,MINS,SHTS,SV,GA,GAA,PKG/A,W,L,T,ShO,W%,Sv%,Year,Season,best_11
0,Mark Dodd,DAL,G,31,31,2776,235,160,45,1.45,5-May,17,14,0,6.0,54.8,68.1,1996,reg,1
1,Tony Meola,MET,G,29,29,2610,188,142,38,1.31,4-Mar,14,15,0,9.0,48.3,75.5,1996,reg,0
2,Mark Dougherty,TB,G,28,28,2520,186,123,47,1.68,10-Sep,17,11,0,3.0,60.7,66.1,1996,reg,0
3,Jorge Campos,LA,G,24,24,2160,133,100,27,1.13,0/1,13,8,0,4.0,54.2,75.2,1996,reg,0
4,Garth Lagerwey,KC,G,23,22,1959,133,83,38,1.73,2-Feb,12,10,0,3.0,52.2,62.4,1996,reg,0
5,Chris Woods,COL,G,23,23,2070,149,96,43,1.87,2-Feb,8,15,0,2.0,34.8,64.4,1996,reg,0
6,Tom Liner,SJ,G,20,20,1712,118,75,33,1.65,2-Jan,7,12,0,4.0,35.0,63.6,1996,reg,0
7,Aidan Heaney,NE,G,19,18,1534,130,93,29,1.61,2-Feb,8,9,0,4.0,42.1,71.5,1996,reg,0
8,Jeff Causey,DC,G,19,18,1620,115,70,35,1.94,8-Jul,9,10,0,0.0,47.4,60.9,1996,reg,0
9,David Kramer,LA,G,15,8,855,83,52,22,2.75,4-Apr,6,5,0,1.0,40.0,62.7,1996,reg,0
10,Mark Simpson,DC,G,15,14,1260,69,46,21,1.5,0/0,7,6,0,3.0,46.7,66.7,1996,reg,0
11,Jim St. Andre,NE,G,15,14,1346,91,57,27,1.93,0/0,7,8,0,2.0,46.7,62.6,1996,reg,0
12,Dave Salzwedel,SJ,G,14,12,1168,80,53,17,1.42,2-Feb,8,5,0,4.0,57.1,66.3,1996,reg,0
13,Bo Oshoniyi,CLB,G,13,13,1170,101,64,33,2.54,3-Feb,3,10,0,2.0,23.1,63.4,1996,reg,0
14,Pat Harrington,CLB,G,12,11,924,57,23,21,1.91,0/0,5,5,0,1.0,41.7,40.4,1996,reg,0
15,Dusty Hudock,COL,G,9,9,810,55,34,16,1.78,2-Feb,3,6,0,2.0,33.3,61.8,1996,reg,0
16,Brad Friedel,CLB,G,9,9,810,60,46,7,0.78,0/0,8,1,0,4.0,88.9,76.7,1996,reg,0
17,David Winner,CLB,G,7,6,606,39,22,16,2.67,2-Feb,3,4,0,0.0,42.9,56.4,1996,reg,0
18,Mike Ammann,KC,G,4,3,291,21,12,8,2.67,0/1,1,2,0,0.0,25.0,57.1,1996,reg,0
19,Scott Budnick,TB,G,4,4,360,23,18,4,1.0,0/0,3,1,0,1.0,75.0,78.3,1996,reg,0
20,Zach Thornton,MET,G,3,3,270,17,8,9,3.0,1-Jan,1,2,0,0.0,33.3,47.1,1996,reg,0
21,Jeff Cassar,DAL,G,2,1,104,9,6,3,3.0,0/0,0,1,0,0.0,0.0,66.7,1996,reg,0
22,Mile Miovac,DC,G,0,0,0,0,0,0,0.0,0/0,0,0,0,0.0,0.0,0.0,1996,reg,0
46,Tony Meola,MET,G,30,30,2700,204,149,48,1.6,6-Apr,12,18,0,5.0,40.0,73.0,1997,reg,0
47,Mark Dodd,DAL,G,30,30,2700,249,183,48,1.6,9-Jun,14,16,0,3.0,46.7,73.5,1997,reg,0
48,Mike Ammann,KC,G,29,29,2597,160,109,45,1.55,4-Mar,21,8,0,5.0,72.4,68.1,1997,reg,0
49,Brad Friedel,CLB,G,29,29,2609,174,131,35,1.21,5-Apr,14,15,0,7.0,48.3,75.3,1997,reg,1
50,Mark Dougherty,TB,G,26,24,2157,165,111,45,1.88,4-Jan,15,9,0,3.0,57.7,67.3,1997,reg,0
51,Marcus Hahnemann,COL,G,25,24,2157,154,111,37,1.54,5-Apr,13,10,0,5.0,52.0,72.1,1997,reg,0
52,Walter Zenga,NE,G,22,22,1980,113,81,28,1.27,1-Jan,15,7,0,6.0,68.2,71.7,1997,reg,0
53,David Kramer,LA,G,21,21,1831,123,84,33,1.57,4-Mar,7,14,0,3.0,33.3,68.3,1997,reg,0
54,Dave Salzwedel,SJ,G,20,18,1679,118,72,35,1.94,3-Jan,7,11,0,2.0,35.0,61.0,1997,reg,0
55,Jorge Campos,LA,G,19,19,1687,88,62,23,1.21,2-Feb,12,5,0,4.0,63.2,70.5,1997,reg,0
56,Scott Garlick,DC,G,14,13,1171,82,57,22,1.69,0/0,9,5,0,2.0,64.3,69.5,1997,reg,0
57,Jeff Causey,DC,G,12,11,991,86,56,27,2.45,0/1,4,8,0,1.0,33.3,65.1,1997,reg,0
58,Paul Grafer,COL,G,9,8,723,63,40,22,2.75,1-Jan,1,8,0,1.0,11.1,63.5,1997,reg,0
59,Scott Budnick,TB,G,9,8,737,52,35,15,1.88,0/0,2,6,0,1.0,22.2,67.3,1997,reg,0
60,Kevin Hartman,LA,G,8,4,483,21,12,8,2.0,2-Jan,2,4,0,3.0,25.0,57.1,1997,reg,0
61,Tom Presthus,DC,G,7,7,629,49,31,13,1.86,0/1,4,2,0,0.0,57.1,63.3,1997,reg,0
62,Mark Simpson,DC,G,7,7,629,35,27,7,1.0,3-Mar,4,2,0,3.0,57.1,77.1,1997,reg,0
63,Chris Snitko,KC,G,5,3,282,20,11,6,2.0,0/0,0,3,0,0.0,0.0,55.0,1997,reg,0
