Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,Attendance,Top Team Scorer,Goalkeeper,Notes
1,Philadelphia,34,19,10,5,72,26,46,67,1.97,59.3,38,21.3,0.63,18126,Dániel Gazdag - 22,Andre Blake,→ Conference Semifinals
2,CF Montréal,34,20,5,9,63,50,13,65,1.91,55.3,37.1,18.2,0.54,15769,Romell Quioto - 15,Sebastian Breza,→ First Round
3,NYCFC,34,16,7,11,57,41,16,55,1.62,58.5,38.1,20.4,0.6,17180,Valentín Castellanos - 13,Sean Johnson,→ First Round
4,NY Red Bulls,34,15,8,11,50,41,9,53,1.56,45.5,39.2,6.3,0.18,17002,Lewis Morgan - 14,Carlos Coronel,→ First Round
5,FC Cincinnati,34,12,13,9,64,56,8,49,1.44,55.7,48.3,7.4,0.22,22487,Brenner Brandon Vazquez - 18,Roman Celentano,→ First Round
6,Inter Miami,34,14,6,14,47,56,-9,48,1.41,42,48.5,-6.5,-0.19,11871,Gonzalo Higuaín - 16,Drake Callender,→ First Round
7,Orlando City,34,14,6,14,44,53,-9,48,1.41,40.1,48.1,-8,-0.24,14331,Ercan Kara - 11,Pedro Gallese,→ First Round
8,Columbus Crew,34,10,16,8,46,41,5,46,1.35,40.6,42.7,-2.1,-0.06,19237,Lucas Zelarayán - 10,Eloy Room,
9,Charlotte,34,13,3,18,44,52,-8,42,1.24,41.8,44.1,-2.3,-0.07,35260,Karol Świderski - 10,Kristijan Kahlina,
10,New England,34,10,12,12,47,50,-3,42,1.24,44.7,53.7,-9,-0.26,21221,Gustavo Bou - 8,Đorđe Petrović,
11,Atlanta Utd,34,10,10,14,48,54,-6,40,1.18,55.8,50.2,5.6,0.16,47116,Josef Martínez - 9,Rocco Ríos Novo,
12,Chicago Fire,34,10,9,15,39,48,-9,39,1.15,47,47,0,0,15848,Jhon Durán - 8,Gaga Slonina,
13,Toronto FC,34,9,7,18,49,66,-17,34,1,42.3,58.7,-16.4,-0.48,25423,Jesús Jiménez Jonathan Osorio - 9,Alex Bono,
14,D.C. United,34,7,6,21,36,71,-35,27,0.79,36.9,57.6,-20.7,-0.61,16256,Taxiarchis Fountas - 12,Rafael Romo,
