Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,-9999
1,Paxten Aaronson,us USA,FWMF,Philadelphia,18,2003,23,2,432,4.8,1,0,1,1,0,0,1,0,1.3,1.3,0.6,1.9,21,19,26,0.21,0,0.21,0.21,0.21,0.27,0.13,0.4,0.27,0.4,Matches,4cd41883
2,Lalas Abubakar,gh GHA,DF,Colorado Rapids,27,1994,32,29,2522,28,4,1,5,4,0,0,9,0,2.4,2.4,0.5,3,6,56,4,0.14,0.04,0.18,0.14,0.18,0.09,0.02,0.11,0.09,0.11,Matches,4a67f05b
3,Nicolás Acevedo,uy URU,MFDF,NYCFC,22,1999,31,27,2264,25.2,0,0,0,0,0,0,8,0,0.7,0.7,0.6,1.3,29,142,51,0,0,0,0,0,0.03,0.02,0.05,0.03,0.05,Matches,6140be7b
4,Ifunanyachi Achara,us USA,FWMF,Toronto FC,24,1997,15,0,382,4.2,0,1,1,0,0,0,1,0,0.3,0.3,0.4,0.7,3,8,51,0,0.24,0.24,0,0.24,0.08,0.09,0.17,0.08,0.17,Matches,d31bf83e
5,Bryan Acosta,hn HON,MF,Colorado Rapids,28,1993,26,22,1898,21.1,0,2,2,0,0,0,11,1,0.6,0.6,3.7,4.3,13,90,30,0,0.09,0.09,0,0.09,0.03,0.18,0.2,0.03,0.2,Matches,c5f400f4
6,George Acosta,us USA,MF,Inter Miami,22,2000,1,0,7,0.1,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0,1,0,0,0,0,0,0,0.69,0,0.69,0.69,0.69,Matches,409d5b26
7,Kellyn Acosta,us USA,MFDF,Los Angeles FC,26,1995,32,28,2549,28.3,2,4,6,2,0,0,8,0,2,2,4.4,6.4,34,164,84,0.07,0.14,0.21,0.07,0.21,0.07,0.16,0.23,0.07,0.23,Matches,ece10cfe
8,Luciano Acosta,ar ARG,MF,FC Cincinnati,27,1994,30,28,2491,27.7,10,12,22,7,3,4,7,1,9.3,6.1,12.3,18.4,76,176,220,0.36,0.43,0.79,0.25,0.69,0.34,0.44,0.78,0.22,0.67,Matches,363ba6d7
9,Mo Adams,eng ENG,MF,Inter Miami,25,1996,8,5,354,3.9,0,0,0,0,0,0,3,0,0,0,0,0,3,9,3,0,0,0,0,0,0.01,0,0.01,0.01,0.01,Matches,00362ef7
10,Samuel Adeniran,us USA,FW,Seattle,23,1998,2,1,73,0.8,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0,2,9,0,0,0,0,0,0.09,0,0.09,0.09,0.09,Matches,86429529
11,Harrison Afful,gh GHA,DF,Charlotte,35,1986,21,15,1306,14.5,0,0,0,0,0,0,4,0,0.5,0.5,0.4,0.9,20,98,27,0,0,0,0,0,0.03,0.03,0.06,0.03,0.06,Matches,7d8ede09
12,Samuel Afriyie Owusu,gh GHA,DFMF,NYCFC,21,2000,1,0,12,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.26,0,0.26,0.26,0.26,Matches,ea0af15a
13,William Agada,ng NGA,FW,Sporting KC,22,1999,12,10,918,10.2,8,2,10,8,0,0,2,0,7.3,7.2,0.5,7.7,9,13,34,0.78,0.2,0.98,0.78,0.98,0.72,0.05,0.77,0.71,0.76,Matches,d2275b1b
14,Oskar Ågren,se SWE,DF,San Jose,23,1998,3,3,249,2.8,0,0,0,0,0,0,1,0,0.1,0.1,0,0.1,4,4,0,0,0,0,0,0,0.04,0,0.04,0.04,0.04,Matches,5ad77e97
15,Daniel Aguirre,us USA,MFDF,LA Galaxy,22,1999,11,3,374,4.2,1,1,2,1,0,0,0,0,0.3,0.3,0.7,1,10,27,15,0.24,0.24,0.48,0.24,0.48,0.07,0.17,0.24,0.07,0.24,Matches,ecc5063f
16,Ali Ahmed,ca CAN,DF,Vancouver,21,2000,2,0,56,0.6,0,0,0,0,0,0,0,0,0,0,0,0.1,2,0,5,0,0,0,0,0,0.07,0.03,0.1,0.07,0.1,Matches,540a5be1
17,Arnaud Ake,ci CIV,FWMF,Nashville,23,1998,21,0,318,3.5,1,0,1,1,0,0,0,0,0.6,0.6,0.8,1.4,6,9,29,0.28,0,0.28,0.28,0.28,0.18,0.21,0.39,0.18,0.39,Matches,3402bb17
18,Tesho Akindele,ca CAN,FW,Orlando City,29,1992,27,4,610,6.8,3,0,3,3,0,0,0,0,2.4,2.4,0.6,3.1,9,12,52,0.44,0,0.44,0.44,0.44,0.36,0.09,0.46,0.36,0.46,Matches,8.97E+10
19,Matai Akinmboni,us USA,DF,D.C. United,15,2006,2,2,120,1.3,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Matches,cfed08d5
20,Ayo Akinola,ca CAN,FW,Toronto FC,22,2000,26,14,1241,13.8,2,0,2,2,0,0,2,0,3.9,3.9,0.6,4.5,13,11,91,0.15,0,0.15,0.15,0.15,0.29,0.04,0.33,0.29,0.33,Matches,214d2406
21,Jordy Alcivar,ec ECU,MF,Charlotte,22,1999,20,10,1019,11.3,1,1,2,1,0,0,5,0,0.8,0.8,1.7,2.5,15,36,19,0.09,0.09,0.18,0.09,0.18,0.07,0.15,0.22,0.07,0.22,Matches,6e98c19f
22,Caio Alexandre,br BRA,MFDF,Vancouver,22,1999,4,0,81,0.9,0,0,0,0,0,0,2,0,0.1,0.1,0.1,0.1,2,5,3,0,0,0,0,0,0.06,0.07,0.13,0.06,0.13,Matches,08ac23b7
23,Tony Alfaro,us USA,DF,D.C. United,28,1993,18,9,943,10.5,0,1,1,0,0,0,1,0,0.1,0.1,0,0.1,6,40,2,0,0.1,0.1,0,0.1,0.01,0,0.01,0.01,0.01,Matches,4118b12a
24,Noah Allen,us USA,DFMF,Inter Miami,17,2004,8,3,324,3.6,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,5,8,24,0,0,0,0,0,0.04,0,0.04,0.04,0.04,Matches,043f389a
25,Thiago Almada,ar ARG,MFFW,Atlanta Utd,20,2001,29,25,2372,26.4,6,7,13,6,0,0,4,1,6,6,7.6,13.6,94,221,185,0.23,0.27,0.49,0.23,0.49,0.23,0.29,0.52,0.23,0.52,Matches,27f33438
26,Osvaldo Alonso,cu CUB,MF,Atlanta Utd,36,1985,4,4,331,3.7,0,0,0,0,0,0,2,0,0,0,0,0.1,3,27,6,0,0,0,0,0,0.01,0.01,0.02,0.01,0.02,Matches,8449bfda
27,Jozy Altidore,us USA,FWMF,New England,32,1989,17,4,597,6.6,1,0,1,1,0,0,1,0,1.7,1.7,0.3,2,4,17,34,0.15,0,0.15,0.15,0.15,0.25,0.04,0.3,0.25,0.3,Matches,8db8ad1e
28,Efrain Alvarez,mx MEX,MFFW,LA Galaxy,19,2002,28,12,1393,15.5,3,5,8,3,0,0,2,0,4.2,4.2,4.8,9.1,50,115,117,0.19,0.32,0.52,0.19,0.52,0.27,0.31,0.59,0.27,0.59,Matches,3cd08ab7
29,Luis Amarilla,py PAR,FW,Minnesota Utd,26,1995,33,27,2349,26.1,9,4,13,9,0,0,3,0,9,9,3.5,12.5,41,42,171,0.34,0.15,0.5,0.34,0.5,0.34,0.13,0.48,0.34,0.48,Matches,fa66adb6
30,Frankie Amaya,us USA,MF,NY Red Bulls,21,2000,24,23,1976,22,1,3,4,1,0,0,5,1,0.5,0.5,1.4,2,24,132,15,0.05,0.14,0.18,0.05,0.18,0.02,0.07,0.09,0.02,0.09,Matches,2e8bd00c
31,Mikey Ambrose,us USA,DF,Atlanta Utd,28,1993,2,0,46,0.5,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,2,1,1,0,0,0,0,0,0.13,0,0.13,0.13,0.13,Matches,f649d6aa
32,Malte Amundsen,dk DEN,DF,NYCFC,23,1998,27,23,2094,23.3,0,1,1,0,0,0,4,0,0.7,0.7,2.8,3.5,44,81,142,0,0.04,0.04,0,0.04,0.03,0.12,0.15,0.03,0.15,Matches,83b6e15d
33,Max Anchor,ca CAN,GK,Vancouver,17,2004,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,d6aa8848
34,Sebastian Anderson,us USA,DFMF,Colorado Rapids,19,2002,2,0,10,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Matches,3a9911ce
35,José Andrés Martínez,ve VEN,MF,Philadelphia,27,1994,30,29,2518,28,0,2,2,0,0,0,11,1,0.9,0.9,0.7,1.6,24,150,29,0,0.07,0.07,0,0.07,0.03,0.03,0.06,0.03,0.06,Matches,c8364e8e
36,Iván Angulo,co COL,FW,Orlando City,22,1999,9,5,548,6.1,0,2,2,0,0,0,1,0,0.9,0.8,0.8,1.6,15,12,33,0,0.33,0.33,0,0.33,0.15,0.13,0.27,0.13,0.26,Matches,55a5d959
37,Jalil Anibaba,us USA,DF,Columbus Crew,33,1988,5,3,226,2.5,0,0,0,0,0,0,1,0,0,0,0,0,1,7,0,0,0,0,0,0,0.01,0,0.01,0.01,0.01,Matches,e44593b0
38,Themi Antonoglou,ca CAN,DF,Toronto FC,20,2001,2,0,41,0.5,0,0,0,0,0,0,0,0,0,0,0,0.1,1,0,3,0,0,0,0,0,0.08,0.05,0.14,0.08,0.14,Matches,b137ee51
39,Brian Anunga,cm CMR,MF,Nashville,25,1996,24,9,842,9.4,0,0,0,0,0,0,5,0,0.2,0.2,0,0.2,6,22,4,0,0,0,0,0,0.02,0,0.02,0.02,0.02,Matches,17b28ec7
40,Cristian Arango,co COL,FW,Los Angeles FC,26,1995,34,28,2341,26,16,4,20,15,1,2,5,0,16.3,14.7,4,18.7,60,62,180,0.62,0.15,0.77,0.58,0.73,0.63,0.15,0.78,0.57,0.72,Matches,fea9401e
41,César Araujo,uy URU,MF,Orlando City,20,2001,31,28,2458,27.3,0,0,0,0,0,0,8,1,0.7,0.7,0.6,1.3,22,123,17,0,0,0,0,0,0.03,0.02,0.05,0.03,0.05,Matches,3ed214ff
