Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,Attendance,Top Team Scorer,Goalkeeper,Notes
1,Colorado Rapids,34,17,10,7,51,35,16,61,1.79,50,42.7,7.3,0.21,8481,Michael Barrios - 8,William Yarbrough,→ Conference Semifinals
2,Seattle,34,17,9,8,53,33,20,60,1.76,50.7,40.1,10.6,0.31,25125,Raúl Ruidíaz - 17,Stefan Frei,→ First Round
3,Sporting KC,34,17,7,10,58,40,18,58,1.71,56.1,52.5,3.6,0.11,15442,Dániel Sallói - 16,Tim Melia,→ First Round
4,Portland Timbers,34,17,4,13,56,52,4,55,1.62,53.6,63.8,-10.2,-0.3,15025,Felipe Mora - 11,Steve Clark,→ First Round
5,Minnesota Utd,34,13,10,11,42,44,-2,49,1.44,54.6,46.6,8,0.24,11315,Robin Lod - 9,Tyler Miller,→ First Round
6,Vancouver,34,12,13,9,45,45,0,49,1.44,43,54.6,-11.7,-0.34,5447,Brian White - 12,Maxime Crépeau,→ First Round
7,Real Salt Lake,34,14,6,14,55,54,1,48,1.41,52,54.1,-2.1,-0.06,13599,Damir Kreilach - 16,David Ochoa,→ First Round
8,LA Galaxy,34,13,9,12,50,54,-4,48,1.41,52,53.3,-1.4,-0.04,14849,Javier Hernández - 17,Jonathan Bond,
9,Los Angeles FC,34,12,9,13,53,51,2,45,1.32,65.7,44.7,21,0.62,18458,Cristian Arango - 14,Tomas Romero,
10,San Jose,34,10,11,13,46,54,-8,41,1.21,53.9,60.5,-6.6,-0.19,9132,Javier Eduardo López - 12,J.T. Marcinkowski,
11,FC Dallas,34,7,12,15,47,56,-9,33,0.97,50.4,55.9,-5.5,-0.16,13418,Ricardo Pepi - 13,Jimmy Maurer,
12,Austin,34,9,4,21,35,56,-21,31,0.91,46.2,61.3,-15.1,-0.44,15858,Diego Fagúndez Cecilio Domínguez - 7,Brad Stuver,
13,Houston Dynamo,34,6,12,16,36,54,-18,30,0.88,45.6,53,-7.4,-0.22,11844,Fafà Picault - 11,Marko Marić,
